Id,SalePrice
1461,119473.86556615998
1462,151038.1215352323
1463,174206.00833682372
1464,190259.5919305581
1465,196201.40233711636
1466,175684.50607855892
1467,177432.2782673866
1468,168954.0958763748
1469,183594.23675317728
1470,122486.48028422894
1471,187877.41775901522
1472,98206.20457175268
1473,97592.09523431439
1474,147869.35911127817
1475,119776.16965210545
1476,361421.00238045334
1477,246847.81385710172
1478,301875.0905495834
1479,285546.7332736033
1480,470190.6832137655
1481,314764.2718174865
1482,211740.96468442402
1483,175753.17217177688
1484,171127.47667590505
1485,188677.74115137587
1486,195165.75680913505
1487,325257.49328829837
1488,235313.7704097132
1489,197536.39360893503
1490,221992.2904516845
1491,191481.36672857928
1492,91757.14188852464
1493,186399.7743169716
1494,293591.84217635053
1495,284065.7305045911
1496,233487.11769452575
1497,178207.202834044
1498,166351.68782318055
1499,159388.66356559301
1500,160276.7428121305
1501,172557.55219401297
1502,154836.25755554374
1503,277606.45682356146
1504,239727.4246718065
1505,223295.34522079033
1506,184232.0521535742
1507,236515.67738869233
1508,192764.11066493025
1509,159191.215827109
1510,149140.40929244232
1511,153124.9782490647
1512,168002.61208287027
1513,147643.30573774187
1514,149592.9181888961
1515,187090.8385296974
1516,154976.19586642226
1517,157073.7603856033
1518,130052.18609635282
1519,216679.1134742517
1520,133017.94472507355
1521,134045.23824438808
1522,168970.85562367295
1523,113649.14050014876
1524,121450.797526257
1525,121586.23549717167
1526,118971.52433912296
1527,104324.02266223807
1528,129327.76124763177
1529,146850.01665371849
1530,186542.8155794696
1531,124644.69615694438
1532,100370.1759329076
1533,144262.43772695662
1534,118646.79059428954
1535,140530.0073549431
1536,113223.6237035902
1537,69415.52151720822
1538,151959.16122809186
1539,194269.73779213816
1540,101703.66822297979
1541,141586.41891217296
1542,135357.33338062937
1543,181000.6911369713
1544,84769.63709760521
1545,109276.8923110347
1546,134134.82339886198
1547,132794.103534988
1548,134653.6312257586
1549,120254.33174410678
1550,138759.099360532
1551,109442.48784894716
1552,141668.87968268644
1553,141118.71723484877
1554,121325.70440450514
1555,157179.31392888326
1556,92269.709008062
1557,103310.97685785597
1558,98509.10475927353
1559,89312.80104755188
1560,135214.1820471696
1561,126019.87383106088
1562,130486.14295564187
1563,123135.24019259945
1564,155157.983953569
1565,149027.4053716879
1566,228823.70278408576
1567,79446.31568380463
1568,230295.3048563361
1569,134853.34320707884
1570,137751.13496539823
1571,118262.87102551089
1572,139713.92886804862
1573,225993.70951292175
1574,119171.60231084932
1575,221467.7299772484
1576,236856.435985943
1577,194485.06961012987
